,Open Day,HOUR_ENDING,LZ_HOUSTON,ACTUAL_LZ_SOUTH_HOUSTON
335,06/08/2024,12,20.43,
336,06/08/2024,13,24.39,
337,06/08/2024,13,24.3,
338,06/08/2024,13,38.02,
339,06/08/2024,13,31.12,
340,06/08/2024,14,32.23,
341,06/08/2024,14,39.35,
342,06/08/2024,14,29.29,
343,06/08/2024,14,28.27,
344,06/08/2024,15,23.47,
345,06/08/2024,15,30.43,
346,06/08/2024,15,34.14,
347,06/08/2024,15,35.18,
348,06/08/2024,16,33.63,
349,06/08/2024,16,32.39,
350,06/08/2024,16,37.72,
351,06/08/2024,16,46.09,
352,06/08/2024,17,51.9,
353,06/08/2024,17,36.25,
354,06/08/2024,17,35.31,
355,06/08/2024,17,26.93,
356,06/08/2024,18,27.49,
357,06/08/2024,18,28.38,
358,06/08/2024,18,21.39,
359,06/08/2024,18,22.37,
360,06/08/2024,19,22.93,
361,06/08/2024,19,21.16,
362,06/08/2024,19,27.32,
363,06/08/2024,19,30.78,
364,06/08/2024,20,46.7,
365,06/08/2024,20,44.37,
366,06/08/2024,20,67.17,
367,06/08/2024,20,49.6,
368,06/08/2024,21,62.83,
369,06/08/2024,21,47.05,
370,06/08/2024,21,46.55,
371,06/08/2024,21,37.91,
372,06/08/2024,22,28.22,
373,06/08/2024,22,22.44,
374,06/08/2024,22,20.4,
375,06/08/2024,22,22.12,
376,06/08/2024,23,27.15,
377,06/08/2024,23,40.6,
378,06/08/2024,23,25.8,
379,06/08/2024,23,22.57,
380,06/08/2024,24,23.12,
381,06/08/2024,24,22.51,
382,06/08/2024,24,20.63,
383,06/08/2024,24,20.23,
384,06/09/2024,1,20.55,
385,06/09/2024,1,20.45,
386,06/09/2024,1,20.59,
387,06/09/2024,1,20.46,
388,06/09/2024,2,20.49,
389,06/09/2024,2,20.23,
390,06/09/2024,2,20.15,
391,06/09/2024,2,19.43,
392,06/09/2024,3,18.92,
393,06/09/2024,3,18.34,
394,06/09/2024,3,16.95,
395,06/09/2024,3,17.45,
396,06/09/2024,4,17.35,
397,06/09/2024,4,17.37,
398,06/09/2024,4,16.22,
399,06/09/2024,4,16.04,
400,06/09/2024,5,15.78,
401,06/09/2024,5,16.02,
402,06/09/2024,5,16.15,
403,06/09/2024,5,18.15,
404,06/09/2024,6,18.82,
405,06/09/2024,6,17.85,
406,06/09/2024,6,18.29,
407,06/09/2024,6,18.46,
408,06/09/2024,7,20.06,
409,06/09/2024,7,18.33,
410,06/09/2024,7,18.34,
411,06/09/2024,7,18.32,
412,06/09/2024,8,17.98,
413,06/09/2024,8,18.46,
414,06/09/2024,8,18.62,
415,06/09/2024,8,17.94,
416,06/09/2024,9,17.91,
417,06/09/2024,9,17.96,
418,06/09/2024,9,17.8,
419,06/09/2024,9,18.0,
420,06/09/2024,10,18.81,
421,06/09/2024,10,20.99,
422,06/09/2024,10,27.71,
423,06/09/2024,10,29.93,
424,06/09/2024,11,42.55,
425,06/09/2024,11,51.32,
426,06/09/2024,11,31.21,
427,06/09/2024,11,22.57,
428,06/09/2024,12,21.51,
429,06/09/2024,12,23.52,
430,06/09/2024,12,24.6,
431,06/09/2024,12,35.75,
432,06/09/2024,13,42.12,
433,06/09/2024,13,38.72,
434,06/09/2024,13,35.78,
435,06/09/2024,13,39.57,
436,06/09/2024,14,35.51,
437,06/09/2024,14,35.39,
438,06/09/2024,14,44.45,
439,06/09/2024,14,37.66,
440,06/09/2024,15,36.83,
441,06/09/2024,15,32.01,
442,06/09/2024,15,40.86,
443,06/09/2024,15,64.08,
444,06/09/2024,16,52.49,
445,06/09/2024,16,52.04,
446,06/09/2024,16,69.3,
447,06/09/2024,16,52.74,
448,06/09/2024,17,48.66,
449,06/09/2024,17,47.56,
450,06/09/2024,17,40.55,
451,06/09/2024,17,31.13,
452,06/09/2024,18,22.77,
453,06/09/2024,18,20.73,
454,06/09/2024,18,21.35,
455,06/09/2024,18,22.23,
456,06/09/2024,19,21.61,
457,06/09/2024,19,23.67,
458,06/09/2024,19,26.09,
459,06/09/2024,19,33.81,
460,06/09/2024,20,54.81,
461,06/09/2024,20,70.71,
462,06/09/2024,20,74.08,
463,06/09/2024,20,76.39,
464,06/09/2024,21,72.16,
465,06/09/2024,21,65.78,
466,06/09/2024,21,55.96,
467,06/09/2024,21,48.63,
468,06/09/2024,22,47.63,
469,06/09/2024,22,52.37,
470,06/09/2024,22,74.82,
471,06/09/2024,22,70.04,
472,06/09/2024,23,51.23,
473,06/09/2024,23,61.93,
474,06/09/2024,23,54.41,
475,06/09/2024,23,41.58,
476,06/09/2024,24,39.38,
477,06/09/2024,24,50.09,
478,06/09/2024,24,33.32,
479,06/09/2024,24,28.66,
480,06/10/2024,1,37.44,
481,06/10/2024,1,25.44,
482,06/10/2024,1,27.63,
483,06/10/2024,1,54.8,
484,06/10/2024,2,63.09,
485,06/10/2024,2,53.24,
486,06/10/2024,2,31.65,
487,06/10/2024,2,29.95,
488,06/10/2024,3,23.02,
489,06/10/2024,3,22.61,
490,06/10/2024,3,22.45,
491,06/10/2024,3,21.66,
492,06/10/2024,4,21.05,
493,06/10/2024,4,17.66,
494,06/10/2024,4,19.68,
495,06/10/2024,4,21.47,
496,06/10/2024,5,22.29,
497,06/10/2024,5,22.05,
498,06/10/2024,5,21.55,
499,06/10/2024,5,21.17,
500,06/10/2024,6,21.11,
501,06/10/2024,6,21.28,
502,06/10/2024,6,22.62,
503,06/10/2024,6,22.38,
504,06/10/2024,7,26.98,
505,06/10/2024,7,42.93,
506,06/10/2024,7,37.48,
